"chrom"	"start"	"end"	"pfam_id"	"domain_len"	"msa_pos"	"gene_symbol"	"hmc"
17	41197763	41197764	"PF00533"	477	476	"BRCA1"	1.332
17	41197764	41197765	"PF00533"	477	476	"BRCA1"	1.332
17	41197765	41197766	"PF00533"	477	476	"BRCA1"	1.332
17	41197766	41197767	"PF00533"	477	475	"BRCA1"	1.71
17	41197767	41197768	"PF00533"	477	475	"BRCA1"	1.71
17	41197768	41197769	"PF00533"	477	475	"BRCA1"	1.71
17	41197769	41197770	"PF00533"	477	474	"BRCA1"	1.739
17	41197770	41197771	"PF00533"	477	474	"BRCA1"	1.739
17	41197771	41197772	"PF00533"	477	474	"BRCA1"	1.739
17	41197773	41197774	"PF00533"	477	473	"BRCA1"	1.155
17	41197774	41197775	"PF00533"	477	473	"BRCA1"	1.155
17	41197775	41197776	"PF00533"	477	472	"BRCA1"	1.09
17	41197776	41197777	"PF00533"	477	472	"BRCA1"	1.09
17	41197777	41197778	"PF00533"	477	472	"BRCA1"	1.09
17	41197778	41197779	"PF00533"	477	471	"BRCA1"	1.82
17	41197779	41197780	"PF00533"	477	471	"BRCA1"	1.82
17	41197780	41197781	"PF00533"	477	471	"BRCA1"	1.82
17	41197782	41197783	"PF00533"	477	468	"BRCA1"	1.837
17	41197783	41197784	"PF00533"	477	468	"BRCA1"	1.837
17	41197785	41197786	"PF00533"	477	466	"BRCA1"	1.307
17	41197786	41197787	"PF00533"	477	466	"BRCA1"	1.307
17	41197788	41197789	"PF00533"	477	463	"BRCA1"	1.482
17	41197789	41197790	"PF00533"	477	463	"BRCA1"	1.482
17	41197791	41197792	"PF00533"	477	457	"BRCA1"	1.752
17	41197792	41197793	"PF00533"	477	457	"BRCA1"	1.752
17	41197794	41197795	"PF00533"	477	451	"BRCA1"	1.676
17	41197795	41197796	"PF00533"	477	451	"BRCA1"	1.676
17	41197797	41197798	"PF00533"	477	446	"BRCA1"	1.512
