symbol	hgnc_id	expected_all	observed_all	dne_all_p	info_all	mutation_category	events_n	dist	probability	dnn_p	expected_mis	observed_mis	dne_mis_p	info_mis	com_p	min_p
A1BG	5	0.268782119511945	0.277654943474036	0.389547550554388	822308442|probability of observing >= 20 mutations is too small	NA	NA	NA	NA	NA	0.201345667120685	0.276654943474036	0.295011445407326	822308442|probability of observing >= 20 mutations is too small	NA	0.389547550554388
A2M	7	0.600677658715058	0.958063452690516	0.188438453326109	1063985742|probability of observing >= 25 mutations is too small	missense	3	127.8	0.0132079867920132	0.0132079867920132	0.364238758110284	0.30904917558156	1	0|observed < expected, pvalue set at 1	0.070358068265713	0.070358068265713
A2ML1	23336	0.546630569690036	0.397363789635732	1	0|observed < expected, pvalue set at 1	missense	4	800.4	0.300660699339301	0.300660699339301	0.322370865514237	0.397363789635732	0.322446996416891	1068444376|probability of observing >= 25 mutations is too small	0.323181956718274	0.323181956718274
A4GALT	18149	0.182911631940304	0.196167993400139	0.410554997132267	599045075|probability of observing >= 17 mutations is too small	missense	2	246.0,nan,nan	0.420555579444421	0.420555579444421	0.148149110673144	0.196167993400139	0.359728285891925	599045075|probability of observing >= 17 mutations is too small	0.437001701721155	0.410554997132267
A4GNT	17968	0.125757454231541	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.0859307909348335	0.0980839967000696	0.448479731460786	334701755|probability of observing >= 14 mutations is too small	NA	1
AAAS	13666	0.303792956684576	1.32548798972964	0.00917612615624052	616771139|probability of observing >= 17 mutations is too small	NA	NA	NA	NA	NA	0.193172315809257	0.278096771759036	0.301141608838571	616771139|probability of observing >= 17 mutations is too small	NA	0.00917612615624052
AACS	21298	0.360609424222803	0.866841859214504	0.0792883875103183	836681449|probability of observing >= 20 mutations is too small	missense	2	1891.0	0.994324005675994	0.994324005675994	0.264610684869615	0.218827582105548	1	0|observed < expected, pvalue set at 1	0.999983860980259	0.0792883875103183
AADAC	17	0.137464592494814	0.423027241278998	0.0822685667745352	369699763|probability of observing >= 14 mutations is too small	NA	NA	NA	NA	NA	0.0914535340702507	0	1	0|observed < expected, pvalue set at 1	NA	0.0822685667745352
AADACL4	32038	0.13713834612151	0.155160673764593	0.323075915680264	452149569|probability of observing >= 15 mutations is too small	NA	NA	NA	NA	NA	0.0980207280722885	0.154160673764593	0.252300964166407	452149569|probability of observing >= 15 mutations is too small	NA	0.323075915680264
AADAT	17929	0.16482955310828	0.468190851008842	0.0953798744535657	415458536|probability of observing >= 15 mutations is too small	missense	3	403.3	0.605247394752605	0.605247394752605	0.107428809650734	0.467190851008842	0.0231664199717964	415458536|probability of observing >= 15 mutations is too small	0.0738531705112616	0.0738531705112616
AAED1	16881	0.118246166636554	0.749081933804684	0.00892138159515697	340904958|probability of observing >= 14 mutations is too small	NA	NA	NA	NA	NA	0.0934808957114062	0.102067656695728	0.312069310072926	340904958|probability of observing >= 14 mutations is too small	NA	0.00892138159515697
AAGAB	25662	0.145395746957097	0.251375453261298	0.254554269149505	285989437|probability of observing >= 13 mutations is too small	missense	2	456.0	0.707584292415708	0.707584292415708	0.0893686635582624	0.251375453261298	0.169773451755038	285989437|probability of observing >= 13 mutations is too small	0.374705127794872	0.254554269149505
AAK1	19679	0.573414299341517	0.211209420543701	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.40490528779036	0.210209420543701	1	0|observed < expected, pvalue set at 1	NA	1
AAMDC	30205	0.107865595036602	0.283235699467431	0.142019999522738	237580796|probability of observing >= 12 mutations is too small	NA	NA	NA	NA	NA	0.0640393746272473	0.283235699467431	0.0694692530207691	237580796|probability of observing >= 12 mutations is too small	NA	0.142019999522738
AAMP	18	0.255944083252381	0.193609860100069	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.190523962988523	0.193609860100069	0.44569728355127	541490525|probability of observing >= 16 mutations is too small	NA	1
AANAT	19	0.146280039098314	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.11540678880205	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	1
AAR2	15886	0.198958702969039	0.188615089848363	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.15332132461102	0	1	0|observed < expected, pvalue set at 1	NA	1
AARD	33842	0.0851333958486357	0.001	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.060666898275065	0	1	0|observed < expected, pvalue set at 1	NA	1
AARS	20	0.600562186165963	0.474010841042934	1	0|observed < expected, pvalue set at 1	missense	2	828.0	0.491991508008492	0.491991508008492	0.406046824268914	0.474010841042934	0.378069342212029	951102390|probability of observing >= 22 mutations is too small	0.498865216078078	0.498865216078078
AARS2	21022	0.59950291174168	0.276165838213189	1	0|observed < expected, pvalue set at 1	missense	2	229.0	0.152288847711152	0.152288847711152	0.405661842520999	0.273165838213189	1	0|observed < expected, pvalue set at 1	0.43889284187166	0.43889284187166
AASDHPPT	14235	0.17602740594759	0.129720560139117	1	0|observed < expected, pvalue set at 1	NA	NA	NA	NA	NA	0.11471271887459	0.129720560139117	0.336653656738336	338623203|probability of observing >= 14 mutations is too small	NA	1
AATF	19235	0.276448340763334	0.233998754201787	1	0|observed < expected, pvalue set at 1	missense	2	145.0	0.163339836660163	0.163339836660163	0.169322782433831	0.233998754201787	0.329947576876995	603496808|probability of observing >= 17 mutations is too small	0.211302935661841	0.211302935661841
AATK	21	0.837630824176561	0.394335986800278	1	0|observed < expected, pvalue set at 1	missense	4	1488.1	0.856640143359857	0.856640143359857	0.659614801325691	0.392335986800278	1	0|observed < expected, pvalue set at 1	0.989194370159601	0.989194370159601
ABAT	23	0.324739559381457	0.881806153005455	0.0660019124245842	685624999|probability of observing >= 18 mutations is too small	missense	4	410.2,nan	0.589328410671589	0.589328410671589	0.226794031662056	0.880806153005455	0.0116217037205136	685624999|probability of observing >= 18 mutations is too small	0.0409820377248686	0.0409820377248686
ABCA1	29	1.35086005735656	1.50076359965474	0.376311760531232	1171468460|probability of observing >= 32 mutations is too small	missense	6	1404.8	0.368092631907368	0.368092631907368	0.945593464428462	1.50076359965474	0.149216460646861	1171468460|probability of observing >= 32 mutations is too small	0.21430702439246	0.21430702439246
ABCA10	30	0.569751047805798	0.253625747324774	1	0|observed < expected, pvalue set at 1	missense	2	2288.0	0.752441247558753	0.752441247558753	0.302555133261587	0.253625747324774	1	0|observed < expected, pvalue set at 1	0.966459888673312	0.966459888673312
ABCA12	14637	1.15970999663319	1.73863233444382	0.172086026443626	1171260570|probability of observing >= 32 mutations is too small	missense	5	2126.2	0.673335326664673	0.673335326664673	0.714379194833757	0.689241116473207	1	0|observed < expected, pvalue set at 1	0.939647405074081	0.172086026443626
ABCA13	14638	1.68226259626008	2.21898499206474	0.216586490381196	1248363186|probability of observing >= 44 mutations is too small	missense	12	3848.6	0.748407251592748	0.748407251592748	1.00115154733468	1.56697071495578	0.0805890030915518	1248363186|probability of observing >= 44 mutations is too small	0.229685532877213	0.216586490381196
ABCA2	32	1.46392408677254	2.27486391969218	0.105503349425007	1228535097|probability of observing >= 41 mutations is too small	missense	10	1882.9,nan	0.753352246647753	0.753352246647753	1.11711934036356	1.61984964258322	0.141812539133672	1228535097|probability of observing >= 41 mutations is too small	0.345767780847461	0.105503349425007
ABCA3	33	0.87955147910781	0.879103289630052	1	0|observed < expected, pvalue set at 1	missense	7	1262.7	0.58980041019959	0.58980041019959	0.638827232664313	0.879103289630052	0.226986120894922	1171395535|probability of observing >= 32 mutations is too small	0.403080407204704	0.403080407204704
ABCA4	34	1.17867157534702	0.916727727009845	1	0|observed < expected, pvalue set at 1	missense	3	3129.5	0.907531092468908	0.907531092468908	0.800687341350915	0.514350786148192	1	0|observed < expected, pvalue set at 1	0.995586521760796	0.995586521760796
ABCA5	35	0.727427805486953	0.766623659652805	0.406611558795639	1032341802|probability of observing >= 24 mutations is too small	missense	4	1599.1	0.767649232350768	0.767649232350768	0.425637185371227	0.765623659652805	0.13496380614646	1032341802|probability of observing >= 24 mutations is too small	0.338494803048176	0.338494803048176
ABCA6	36	0.543656275821927	1.64351169491434	0.0167776944951758	1042654296|probability of observing >= 24 mutations is too small	missense	5	1511.4	0.817938182061818	0.817938182061818	0.322880108520505	0.595120476943727	0.117674752344708	1042654296|probability of observing >= 24 mutations is too small	0.321554182312246	0.0167776944951758
