symbol	hgnc_id	expected_all	observed_all	dne_all_p	info_all	probability	mutation_category	dnn_p	expected_mis	observed_mis	dne_mis_p	info_mis	com_p	min_p
A1BG	5	0.210193190762642	0.276654943474036	0.289056248628662	679560103|probability of observing >= 18 mutations is too small	NA	missense	NA	0.157456486670978	0.276654943474036	0.206746725697679	679560103|probability of observing >= 18 mutations is too small	NA	0.289056248628662
A2M	7	0.469742384405667	0.958063452690516	0.111499735787446	960449045|probability of observing >= 22 mutations is too small	0.0131879868120132	missense	0.0131879868120132	0.284842261477962	0.30904917558156	0.394333253178431	960449045|probability of observing >= 22 mutations is too small	0.0325497309253547	0.0325497309253547
A2ML1	23336	0.427476440100188	0.201195796235593	1	0|observed < expected, pvalue set at 1	0.616011383988616	missense	0.616011383988616	0.252100701320427	0.201195796235593	1	0|observed < expected, pvalue set at 1	0.914462637848306	0.914462637848306
A4GALT	18149	0.143040688922857	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.115855676477214	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	1
AAAS	13666	0.237572391395292	1.32548798972964	0.00431604641668852	490219325|probability of observing >= 16 mutations is too small	NA	missense	NA	0.151064756467745	0.278096771759036	0.226420395207275	490219325|probability of observing >= 16 mutations is too small	NA	0.00431604641668852
AACS	21298	0.28200404712227	0.866841859214504	0.0458493087720127	695530676|probability of observing >= 18 mutations is too small	0.994473005526994	missense	0.994473005526994	0.206931042375981	0.218827582105548	0.425321140199499	695530676|probability of observing >= 18 mutations is too small	0.78691657653728	0.0458493087720127
AADAC	17	0.107500161714021	0.423027241278998	0.0586879064407241	282861479|probability of observing >= 13 mutations is too small	NA	missense	NA	0.0715185599683899	0	1	0|observed < expected, pvalue set at 1	NA	0.0586879064407241
AADACL4	32038	0.107245030285248	0.155160673764593	0.247557927184535	349217515|probability of observing >= 14 mutations is too small	NA	missense	NA	0.0766542418513666	0.154160673764593	0.186837802542385	349217515|probability of observing >= 14 mutations is too small	NA	0.247557927184535
AADAT	17929	0.128900128337109	0.467190851008842	0.0668589990235904	309052332|probability of observing >= 13 mutations is too small	0.603933396066604	missense	0.603933396066604	0.0840115567260299	0.467190851008842	0.0130405247505869	309052332|probability of observing >= 13 mutations is too small	0.046024936091958	0.046024936091958
AAED1	16881	0.0924709541911464	0.749081933804684	0.00524888310762071	262376884|probability of observing >= 13 mutations is too small	NA	missense	NA	0.0731039988099245	0.102067656695728	0.250904146435309	262376884|probability of observing >= 13 mutations is too small	NA	0.00524888310762071
AAGAB	25662	0.113702488959173	0.0980839967000696	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.0698881479973947	0.0980839967000696	0.319202576486253	219463799|probability of observing >= 12 mutations is too small	NA	1
AAK1	19679	0.448421872058946	0.211209420543701	1	0|observed < expected, pvalue set at 1	NA	missense	NA	0.316644330924472	0.210209420543701	1	0|observed < expected, pvalue set at 1	NA	1
